Car Brand,Car Model,Model Year,Car Price (in $),Car Mileage (in miles)
Land,Rover Range Rover Velar,2020,44900,46176
Ford,Econoline Cargo Van,2013,16899,131931
Ford,Edge,2019,31995,17326
Lincoln,Aviator,2022,65990,1725
Toyota,C-HR,2018,22299,27848
Ford,F-150,2013,17599,99284
Ford,Explorer,2020,27000,96055
Ford,EcoSport,2021,25245,9140
Dodge,Charger,2019,25998,53068
GMC,Sierra 1500,2017,37994,60480
Chevrolet,Corvette,2021,95995,1150
Nissan,Altima,2020,19995,62786
Chevrolet,Silverado 1500,2011,13950,136560
Mercedes-Benz,C-Class,2019,36900,7958
Nissan,Altima,2020,28529,16749
Toyota,Sienna,2015,22995,95768
Ford,Fusion,2017,10990,127269
Chevrolet,Malibu,2020,18990,51686
Kia,Forte,2020,19999,23051
BMW,5 Series,2018,24995,53102
BMW,4 Series,2018,20995,96671
Chrysler,200,2014,4999,139398
Chevrolet,Traverse,2019,24291,54645
GMC,Sierra 1500,2021,44500,18161
Toyota,Camry,2019,24895,31214
Chrysler,Pacifica,2021,31345,65211
GMC,Savana Cargo Van,2009,11799,130201
Kia,Sedona,2015,14498,122821
BMW,3 Series,2018,23995,27986
Lexus,GX,2019,42999,30853
Ford,Fusion,2016,14295,77302
Ford,Edge,2019,29427,21530
Mercedes-Benz,GLC,2018,29995,31559
BMW,3 Series,2007,7995,68199
Nissan,Altima,2013,8199,102597
Jeep,Compass,2019,21867,42044
Nissan,Rogue,2015,12900,97908
Lexus,IS,2014,19996,83805
Ford,Escape,2019,23200,31855
Ferrari,360,2002,98000,22454
Nissan,Altima,2015,8499,125000
Toyota,Tacoma,2019,32995,58651
Jeep,Compass,2016,14499,53391
BMW,7 Series,2019,44900,54539
BMW,X5,2016,22995,84647
Mercedes-Benz,GLS,2018,39999,73955
Toyota,Highlander,2021,33797,47254
Jeep,Patriot,2016,11995,109462
Honda,Civic,2019,23895,45855
BMW,X5,2018,34795,50037
Cadillac,XT6,2020,46900,34976
Ford,Edge,2013,8899,135608
Acura,MDX,2020,39999,41033
Chevrolet,Equinox,2019,22912,36608
Chevrolet,Equinox,2019,24000,28176
Nissan,Altima,2018,15495,55376
Chevrolet,Equinox,2019,21500,22917
Nissan,Altima,2020,17995,50235
Toyota,RAV4,2020,34992,14391
Hyundai,Tucson,2017,15995,85012
Ford,F-150,2019,32998,83359
Hyundai,Veloster,2012,3900,179337
Dodge,Grand Caravan,2019,17199,91568
Honda,CR-V,2019,26544,47635
Nissan,Altima,2020,21738,56588
Toyota,RAV4,2020,27697,49327
Chevrolet,Silverado 1500,2020,33998,43621
Mercedes-Benz,E-Class,2019,42255,24201
Chevrolet,Equinox,2019,17865,32338
Audi,Q3,2021,38186,11746
Mercedes-Benz,GLS,2017,27995,84044
Mazda,CX-3,2017,19542,51624
Ford,Explorer,2014,14995,105394
Honda,CR-V,2019,32544,23434
Jeep,Compass,2021,26197,42177
Dodge,Durango,2019,38995,13291
Mercedes-Benz,GLE,2020,56900,49402
BMW,3 Series,2021,32790,42823
Cadillac,Escalade,2015,31995,74724
Ford,Explorer,2008,4320,166000
Toyota,Corolla,2003,4985,112942
Toyota,Highlander,2019,38297,9865
Ford,Escape,2019,28300,16663
Toyota,Tacoma,2018,30995,57371
Kia,Forte,2014,6899,142501
Mazda,CX-9,2019,29998,39441
Lexus,NX,2019,30829,30249
BMW,X5,2019,51995,38500
Ford,Explorer,2019,32495,34411
Toyota,Prius,2021,28597,41485
Toyota,RAV4,2019,25982,70966
Nissan,Altima,2021,28275,7426
Mercedes-Benz,GLE,2020,49995,24326
Jeep,Compass,2019,24305,28143
BMW,3 Series,2018,27995,79518
Nissan,Rogue,2019,26998,20316
Ford,Explorer,2016,18995,101449
Chevrolet,Equinox,2013,11999,78126
BMW,X5,2018,37195,32026
INFINITI,QX60,2016,15777,122000
Volvo,XC60,2019,39495,25220
Toyota,Corolla,2020,24575,14800
Mercedes-Benz,C-Class,2021,40966,13261
Land,Rover Range Rover Sport,2014,28995,91305
Ford,Explorer,2020,26995,101156
Nissan,Rogue,2019,28000,13075
BMW,5 Series,2017,22995,82324
Honda,Accord,2018,23990,29512
Ram,1500,2015,23799,85722
Ford,Super Duty F-550 Chassis Cab,2013,23995,87851
Jeep,Grand Cherokee,2017,24995,85939
Toyota,Camry,2018,22480,33972
Ford,Expedition,2013,14995,116570
Chrysler,200,2012,5993,134053
INFINITI,G,2013,11990,151112
BMW,X1,2019,26995,41720
Toyota,Camry,2018,24995,24979
Land,Rover Range Rover Velar,2018,57995,39950
Ford,Escape,2018,18449,25015
Chevrolet,Silverado 1500,2021,49500,777
INFINITI,QX50,2017,26500,20998
Mercedes-Benz,GLE,2019,59900,34268
Nissan,Altima,2019,19888,24649
Mitsubishi,Outlander Sport,2018,15542,74679
Jeep,Compass,2019,22416,62421
GMC,Yukon,2016,30990,117503
Lexus,NX,2021,42469,7113
Dodge,Challenger,2016,22695,123737
Buick,LaCrosse,2010,7899,82767
BMW,X5,2019,42488,45185
Mercedes-Benz,S-Class,2019,68876,40387
Ford,Escape,2019,27495,19557
Jeep,Cherokee,2019,24999,45636
Honda,Accord,2019,29795,20192
Ford,Explorer,2017,25495,53722
Polestar,2,2021,62700,187
Jeep,Cherokee,2017,15995,125102
Mercedes-Benz,C-Class,2019,27888,38178
Acura,MDX,2016,23995,54995
Volvo,XC90,2019,47770,20290
Ford,Fusion,2018,17490,31028
Ford,Escape,2019,23610,19653
BMW,7 Series,2017,37777,84240
Acura,MDX,2019,36195,32348
Chevrolet,Malibu,2020,19942,35547
Ford,F-150,2019,36998,28537
Ford,Edge,2021,25797,54944
Audi,A5,2018,30772,37407
Honda,Odyssey,2012,8495,131551
Toyota,RAV4,2020,29500,18328
BMW,5 Series,2019,32995,49830
BMW,X1,2016,19995,61445
Toyota,Corolla,2012,7891,143543
Toyota,Corolla,2010,6999,157018
Mazda,Mazda3,2020,27997,15669
Honda,Civic,2019,25295,17862
Chevrolet,Malibu,2020,20399,61656
Ford,Escape,2018,19995,42169
Volvo,XC40,2020,40995,17560
Honda,Pilot,2012,14995,88164
Honda,Accord,2017,18998,70168
Mitsubishi,Outlander Sport,2021,22128,14370
Jeep,Compass,2019,23485,37302
Cadillac,STS,2008,6000,93015
Hyundai,Santa Fe,2019,30561,35765
Mercedes-Benz,M-Class,2015,19995,101533
Ford,Super Duty F-250,2016,29995,85174
BMW,3 Series,2013,16995,70900
Ford,F-150,2014,12899,183813
Toyota,RAV4,2012,9899,116105
Honda,Civic,2016,17295,73605
Honda,Civic,2016,17295,73605
Audi,Q7,2019,45690,12391
Nissan,Rogue,2019,23997,27126
Ford,Explorer,2014,13499,134746
Mercedes-Benz,E-Class,2019,44893,30720
Jeep,Grand Cherokee,2020,33399,72777
Chevrolet,Tahoe,2015,32995,86672
Hyundai,Elantra,2020,15995,66545
Kia,Sorento,2016,12899,97920
Nissan,Armada,2020,33448,59357
BMW,5 Series,2019,32061,55023
Honda,Civic,2011,10995,121636
Porsche,911,2018,128500,23650
Mercedes-Benz,GLC,2022,44617,8415
Porsche,Cayenne,2020,72995,28824
Porsche,Cayenne,2020,73995,24375
Nissan,Sentra,2019,17590,59154
Jeep,Cherokee,2019,28995,7801
Ford,F-150,2019,34990,59492
Mazda,Mazda3,2018,20595,30719
Ram,1500,2017,26495,61000
Ferrari,458 Italia,2011,225500,17231
Ford,F-150,2021,39998,10442
Toyota,Camry,2020,24883,60925
Subaru,Ascent,2019,30999,27970
Mercedes-Benz,GLE,2018,35995,29130
Honda,Accord,2020,27995,29550
Nissan,Rogue,2019,26995,23206
Chevrolet,Malibu,2020,28629,62437
Nissan,Rogue,2019,24995,33601
Ford,Escape,2018,17995,61653
Ford,F-150,2019,37998,46034
Ford,Edge,2020,25695,61881
Honda,Civic,2012,7990,180543
Volvo,XC90,2018,39275,48122
Volkswagen,Jetta,2019,17240,49382
Chrysler,Pacifica,2020,23777,49951
Honda,CR-V,2007,7500,147000
Jeep,Grand Cherokee,2017,25995,97566
Toyota,Camry,2018,18072,72392
Honda,CR-V,2019,31071,35815
Land,Rover Range Rover Evoque,2022,54833,6434
Chrysler,Voyager,2021,28895,60985
Volvo,XC90,2019,51110,15954
Chevrolet,Cruze,2018,12499,99818
Mitsubishi,Mirage,2015,8714,65000
Volvo,XC90,2019,47750,34994
Honda,Civic,2014,13495,79980
Nissan,Rogue,2019,22841,23132
Hyundai,Elantra,2019,14999,34706
BMW,X4,2016,23900,82303
Acura,MDX,2020,43007,31767
Jeep,Grand Cherokee,2015,15777,111173
Ford,Fusion,2016,12000,126906
Mercedes-Benz,C-Class,2019,31999,18704
Ford,F-150,2016,34900,86873
Audi,A8,2021,73955,9734
Ford,Explorer,2019,32395,27720
Ford,Escape,2019,23950,13191
Mercedes-Benz,C-Class,2013,13987,64281
Toyota,Camry,2019,25695,15671
Jeep,Wrangler,2018,36590,29746
Dodge,Grand Caravan,2018,10700,152000
Audi,Q5,2018,22895,81250
Volvo,XC60,2019,42324,25660
Mercedes-Benz,C-Class,2019,27988,27625
Nissan,Rogue,2018,25588,17214
Ford,Explorer,2020,31995,41250
Honda,CR-V,2009,7950,161466
Rolls-Royce,Ghost,2021,379000,685
Ford,Explorer,2020,43395,29966
Mazda,CX-5,2019,28995,19235
Toyota,Sienna,2021,38097,54896
BMW,X1,2018,26994,39471
Volvo,XC60,2020,40700,19273
Nissan,Altima,2019,18999,59524
Honda,CR-V,2014,16995,87511
Nissan,Murano,2007,3500,164942
Nissan,Altima,2020,20995,46926
Nissan,Rogue,2019,25595,46123
Toyota,RAV4,2018,22998,68498
BMW,X3 M,2020,65998,18968
Nissan,Rogue,2017,17199,62004
BMW,X1,2018,26799,30106
Jeep,Grand Cherokee,2020,38995,27149
Mercedes-Benz,G-Class,2021,199995,12711
Audi,A6,2016,24500,41165
Lexus,RX,2019,38998,30200
Ford,Escape,2019,23595,27849
Chevrolet,Equinox,2019,12900,162932
Lincoln,MKX,2009,6499,141898
Honda,Odyssey,2012,10495,147354
Ram,1500,2015,17199,141308
Acura,TL,2010,9600,139000
Audi,S5,2017,26995,124998
Nissan,Rogue Sport,2019,22495,23927
Mercedes-Benz,C-Class,2019,26690,28228
Land,Rover Range Rover,2019,83995,23297
Jeep,Compass,2020,20942,90348
Chrysler,Pacifica,2017,12995,126280
Jeep,Compass,2019,23995,35329
Lexus,GX,2019,38885,24665
Dodge,Grand Caravan,2017,8995,183342
Nissan,Rogue,2019,22889,27918
Honda,CR-V,2008,10990,127731
Dodge,Grand Caravan,2018,13999,150227
Nissan,Pathfinder,2020,26995,58762
Toyota,Corolla,2020,18868,50478
Nissan,Rogue,2019,23900,31892
Toyota,RAV4,2020,27385,58655
Honda,CR-V,2019,29495,16980
Ford,Escape,2020,24988,24565
Nissan,Rogue,2018,17695,37952
Volvo,XC90,2019,45900,48257
Honda,Civic,2019,19777,66379
Nissan,Rogue,2015,10995,104184
Jeep,Cherokee,2019,28888,24051
Toyota,Sienna,2014,12495,145896
Cadillac,CTS,2019,34900,34196
Toyota,Prius v,2013,14969,64000
Ford,Edge,2019,24624,39851
Mercedes-Benz,GLE,2018,58985,39887
Acura,MDX,2016,27499,52080
Nissan,Rogue,2018,14499,120000
Nissan,Versa,2019,13990,53536
Ford,F-150,2019,27995,114800
Honda,Accord,2019,29995,11985
Toyota,Camry,2019,23500,24169
Ford,Fusion,2012,6999,131544
Honda,Accord,2020,30763,16596
Ram,1500,2022,94990,1324
Toyota,Sienna,2007,5999,160666
Volvo,S60,2021,38495,5610
Jeep,Grand Cherokee,2019,30495,39429
Toyota,Corolla Hatchback,2020,23469,34000
Volkswagen,Tiguan,2019,26960,27019
Ford,F-150,2014,14995,102819
Chrysler,Town & Country,2015,7999,171614
Kia,K5,2021,23997,41625
Honda,Odyssey,2019,37295,19486
Audi,Q7,2019,37070,70190
Honda,Civic,2019,24995,14131
Rolls-Royce,Ghost,2013,159995,26381
Honda,CR-V,2021,30595,19411
Subaru,Forester,2007,7990,47526
Mercedes-Benz,GLE,2018,32995,53537
Jeep,Cherokee,2015,16995,45628
Mercedes-Benz,C-Class,2018,27990,33305
BMW,8 Series,2019,69900,27028
Ford,F-150,2013,15599,127192
Toyota,Corolla,2015,13900,55486
Ford,Edge,2019,28395,23057
Lexus,RX,2019,40869,23992
Ford,Explorer,2019,32995,19349
Chevrolet,Blazer,2019,39499,22890
Lexus,RX,2014,16995,97893
Jaguar,E-PACE,2021,41900,12007
Land,Rover Range Rover Sport,2020,66995,28069
Ford,Expedition,2009,5599,162718
Jeep,Grand Cherokee,2019,28399,62660
Ram,1500,2014,17499,103330
Lexus,ES,2019,34995,13835
Ram,1500,2020,38998,24865
Jeep,Compass,2019,23888,27072
Volvo,XC60,2019,38459,41696
GMC,Terrain,2021,27995,15885
Porsche,Cayenne,2020,73995,24505
Subaru,Forester,2019,26996,36876
Dodge,Durango,2020,31995,59499
Porsche,Macan,2017,51999,37943
Honda,CR-V,2019,26999,47451
Volkswagen,Tiguan,2019,26986,27551
Volkswagen,Jetta,2021,21397,40500
Honda,Accord,2019,26995,27455
Subaru,Legacy,2016,15942,84949
Ford,F-150,2015,28461,40278
Toyota,Sienna,2014,10995,125102
Honda,Civic,2017,20395,32744
Nissan,Rogue,2019,23988,48502
Nissan,Altima,2020,18995,59960
Nissan,Rogue Sport,2020,19382,50627
Hyundai,Sonata,2016,14990,43132
Dodge,Ram 2500,2003,12995,133394
Chevrolet,Traverse,2016,11599,122114
Chevrolet,Traverse,2015,10895,105888
BMW,5 Series,2019,38195,49238
Toyota,Sienna,2013,14995,108503
Honda,Civic,2019,24395,41224
Nissan,Pathfinder,2011,8999,132090
Lincoln,Continental,2019,41946,36000
Jeep,Cherokee,2016,14777,110278
Honda,Accord,2018,23000,35286
Mercedes-Benz,GLA,2021,39198,21172
Nissan,Murano,2014,12995,82715
Mercedes-Benz,C-Class,2018,40877,30095
Ram,1500,2019,31495,50154
Nissan,Murano,2019,24495,17798
Honda,Pilot,2019,34136,34019
Ford,Super Duty F-250,2009,14995,76627
INFINITI,Q50,2018,23995,65368
Mercedes-Benz,C-Class,2021,41543,8395
Honda,Civic,2019,20990,1577
Chevrolet,Tahoe,2019,42995,51124
Lexus,NX,2019,32594,41512
Dodge,Charger,2020,23995,60992
Land,Rover Range Rover Evoque,2016,21500,82434
Mercedes-Benz,A-Class,2021,34945,9544
BMW,4 Series,2016,18999,47771
Nissan,Rogue,2015,12395,114203
Chevrolet,Cruze,2015,8594,114622
Nissan,Rogue,2015,12395,114203
Chrysler,Pacifica,2019,23995,33028
Honda,CR-V,2019,26646,20906
Chevrolet,Malibu,2014,9999,91642
Nissan,Rogue,2018,19995,32599
INFINITI,QX56,2009,5995,141554
Jeep,Grand Cherokee,2020,35495,23805
Mercedes-Benz,GLS,2018,66248,23129
Ford,Escape,2013,10000,119978
INFINITI,QX60,2019,31909,35576
Toyota,RAV4,2021,27497,47858
Volkswagen,Jetta,2020,18295,45505
Dodge,Grand Caravan,2020,23995,48180
Nissan,Rogue,2015,11995,121049
Toyota,Corolla,2020,23998,27255
Honda,Pilot,2020,35795,25140
Ford,Explorer,2016,18995,78300
Ford,Explorer,2019,33999,6181
Cadillac,XT5,2021,45500,11644
Honda,CR-V,2019,23460,29311
Nissan,NV Cargo,2014,15995,133472
Lincoln,MKZ,2013,12995,73225
Mercedes-Benz,C-Class,2016,16999,108748
Chevrolet,Silverado 1500,2018,31995,65576
Nissan,Rogue,2020,27500,2706
Honda,Civic,2015,17210,47805
Land,Rover Range Rover Sport,2020,82985,12672
Acura,MDX,2019,40772,34023
BMW,X3,2019,34998,20940
Honda,Accord,2019,28495,24776
Honda,Accord,2019,28495,24776
Jeep,Grand Cherokee,2014,19891,87067
GMC,Terrain,2011,5900,168801
Chrysler,Pacifica,2020,28495,23318
Jeep,Patriot,2017,10499,123820
Nissan,Rogue Sport,2018,15999,54324
Tesla,Model X,2022,131642,566
Nissan,Rogue,2020,29090,11479
Honda,Accord,2015,13995,116000
INFINITI,Q50,2014,15494,79337
Ford,F-150,2017,19499,158937
Volvo,XC60,2019,39600,14743
Ford,Escape,2019,22495,30149
Honda,Pilot,2019,36799,16487
Honda,Accord,2018,20279,84955
Kia,Forte,2010,5499,128360
Nissan,Altima,2020,19995,39467
Mitsubishi,Outlander,2013,7795,144225
Nissan,Pathfinder,2019,23295,42377
Jeep,Grand Cherokee,2017,21999,59000
Chevrolet,Equinox,2019,25995,25652
Mercedes-Benz,GLC,2019,32995,24880
Toyota,4Runner,2021,40997,42691
Mercedes-Benz,GLC,2019,39890,20574
Honda,CR-V,2019,28995,25646
Mazda,CX-5,2020,28995,34266
Volvo,XC40,2019,37440,13678
Kia,Forte,2020,20436,11383
Ford,Super Duty F-250,2017,39995,146275
Jeep,Compass,2019,25495,15620
Hyundai,Elantra,2015,8699,106642
Porsche,Cayenne,2020,122500,47404
GMC,Acadia,2020,26777,73310
GMC,Acadia,2012,7999,134731
Nissan,Altima,2015,14990,70680
Honda,CR-V,2019,32472,17516
Honda,CR-V,2019,32245,17469
Toyota,RAV4,2020,27211,16565
Nissan,Rogue,2016,16000,100006
Honda,Pilot,2018,23998,61456
Kia,Soul,2015,9300,108373
Mazda,Mazda3,2012,5993,146205
Honda,Fit,2010,6899,142000
Kia,Sedona,2020,29995,57414
Toyota,RAV4,2019,29995,9685
Mercedes-Benz,GLC,2018,27995,70525
Mercedes-Benz,C-Class,2017,27759,50972
GMC,Sierra 2500HD,2018,28000,107835
BMW,X3,2019,33495,43146
Toyota,Corolla,2021,18595,30769
Nissan,Rogue,2020,27695,33036
Nissan,Altima,2021,26327,9625
Lexus,IS,2014,18655,89769
Chevrolet,Silverado 1500,2009,10016,165000
Jeep,Grand Cherokee,2012,12389,86000
Honda,Pilot,2020,39395,33344
Ford,Edge,2019,28295,27036
Ferrari,430,2007,149995,11328
Chevrolet,Silverado 1500,2018,37998,55826
Nissan,Rogue,2015,17500,35363
MINI,Hardtop,2013,11995,98260
Ford,Explorer,2019,30395,45988
Honda,Accord,2019,28995,37559
Hyundai,Tucson,2019,24995,18885
Mazda,CX-5,2019,25400,35520
Chevrolet,Trax,2019,17212,28514
Nissan,Altima,2019,22395,13400
BMW,7 Series,2016,32995,68733
Mercedes-Benz,GLA,2019,27495,45950
Jeep,Wrangler,2019,35972,25772
BMW,X3,2019,32946,39972
Honda,CR-V,2019,28695,30630
Porsche,Macan,2021,57995,7727
Volkswagen,Atlas,2019,33995,30936
INFINITI,QX80,2017,32994,76996
Mercedes-Benz,GLS,2019,47588,23822
Lexus,NX,2018,28936,44126
Nissan,Murano,2019,22045,29293
Honda,CR-V,2018,21990,43775
Ford,Taurus X,2009,5099,130000
Honda,CR-V,2019,28699,30351
Hyundai,Sonata,2018,17888,23685
Toyota,RAV4,2019,27299,58904
Chevrolet,Traverse,2018,21777,108207
Mercedes-Benz,S-Class,2012,18777,89821
Honda,Odyssey,2019,31379,68900
BMW,M4,2018,53900,64407
Nissan,Rogue,2019,27588,15814
Toyota,Yaris,2020,19742,42894
Mercedes-Benz,GLE,2018,29995,94751
Land,Rover Range Rover Sport,2015,32995,84886
Mercedes-Benz,GLE,2018,29995,94751
Cadillac,XT5,2019,31050,39200
Subaru,Outback,2019,26495,31105
Ford,Explorer,2020,38995,11908
Mazda,CX-5,2019,25995,27185
Honda,Accord,2019,24463,37681
Ford,Explorer,2013,15999,72927
Volkswagen,Jetta,2019,24995,19728
Subaru,Impreza,2013,16488,44996
Jeep,Wrangler,2011,16742,120072
Ford,Econoline Cargo Van,2011,9499,232912
Ram,1500,2019,38555,27754
Ford,Escape,2010,5339,167000
Ford,Explorer,2016,16995,95909
Ford,Explorer,2017,24999,62581
Honda,Pilot,2019,37916,24649
Ram,1500,2021,38990,26779
Ford,Explorer,2019,32495,23160
Ford,F-150,2014,13993,171653
Lexus,LS,2018,54869,24858
Mercedes-Benz,GLS,2020,63995,20030
BMW,X5,2009,11995,84373
Kia,Forte,2012,6795,132726
BMW,5 Series,2019,41989,11049
Honda,Pilot,2020,28695,69166
Subaru,WRX,2016,26995,62369
BMW,3 Series,2018,24490,43386
BMW,3 Series,2018,20939,46681
Mercedes-Benz,C-Class,2021,39291,9417
Volvo,XC90,2022,60990,14563
Nissan,Rogue,2019,19695,34390
Ford,Transit Connect Van,2017,17695,118525
Jeep,Grand Cherokee,2020,37054,5138
Honda,Odyssey,2019,36867,27820
Honda,Civic,2018,21995,20697
Nissan,Altima,2019,18985,43940
Honda,Ridgeline,2013,18099,81714
Audi,A4,2017,24942,69823
Mercedes-Benz,C-Class,2019,28445,54168
Mercedes-Benz,CLA,2019,26995,40474
Nissan,Rogue,2020,17296,48417
Honda,CR-V,2020,33250,13358
Chevrolet,Silverado 1500,2016,30788,61485
BMW,X1,2017,24103,39982
Honda,Civic,2019,26395,37661
Ford,Edge,2019,24695,56796
Toyota,Sienna,2014,14995,118595
Toyota,Camry,2018,22490,43887
Ford,Econoline Cargo Van,2000,5799,177485
Chevrolet,Colorado,2021,27000,34906
Jeep,Grand Cherokee,2019,37972,39251
Jeep,Compass,2019,20144,55676
BMW,X5,2020,46795,52967
Jeep,Grand Cherokee,2017,21495,130064
GMC,Yukon,2015,32995,91005
Hyundai,Elantra,2020,18994,30515
Dodge,Charger,2019,28742,9957
Chevrolet,Malibu,2018,12550,101785
Ram,1500,2019,37998,47066
Ford,Escape,2019,22295,28023
Cadillac,XT5,2018,29995,25560
INFINITI,G,2010,10500,133210
Audi,Q5,2018,21995,84745
Chevrolet,Equinox,2019,22994,24644
Honda,Civic,2017,20895,29208
Ford,Escape,2019,26995,17877
Toyota,Camry,2019,23998,46256
BMW,X1,2018,27350,21602
Honda,Accord,2018,26795,42597
Chevrolet,Equinox,2019,22000,18725
Dodge,Durango,2018,28588,43169
Kia,Forte,2020,22995,15881
Jeep,Compass,2019,24795,25847
Ford,F-150,2018,35995,55454
Ford,Escape,2017,15833,72440
BMW,M3,2018,47900,70191
GMC,Terrain,2017,10800,143498
Honda,CR-V,2019,30995,44447
FIAT,500,2012,7990,99316
BMW,5 Series,2019,36998,41320
Honda,Accord,2020,24990,45104
Jeep,Gladiator,2021,51855,22462
Toyota,Highlander,2015,16995,113428
Hyundai,Sonata,2013,8150,111117
Mercedes-Benz,C-Class,2016,18995,83587
Nissan,Rogue,2019,22900,17332
Nissan,Rogue,2020,26889,26745
Honda,Accord,2019,28998,44071
Ford,Fusion,2016,15990,75290
BMW,4 Series,2018,20795,58922
INFINITI,QX60,2019,30995,32319
Dodge,Grand Caravan,2019,17777,79447
Jaguar,E-PACE,2019,33225,20660
Mercedes-Benz,GLB,2021,40861,11828
INFINITI,QX60,2014,12995,164859
Ford,Explorer,2020,33777,29760
Jeep,Compass,2019,25495,17612
Chevrolet,Equinox,2019,27255,30859
Mercedes-Benz,C-Class,2002,5995,71902
Chrysler,Town & Country,2015,10000,118229
Toyota,MR2 Spyder,2002,8031,128564
Mercedes-Benz,C-Class,2018,27998,47826
Ford,Mustang,2016,16998,89612
Volkswagen,Jetta,2017,12999,67135
Honda,CR-V,2019,24995,65079
Nissan,Altima,2018,14900,62181
BMW,X2,2018,26995,61126
Ford,Fiesta,2019,14539,42300
Ford,Escape,2018,22495,29535
Volkswagen,Tiguan,2018,23995,20806
Ford,Escape,2019,22495,27746
Mercedes-Benz,S-Class,2017,79900,36154
Nissan,Armada,2019,41000,25849
BMW,4 Series,2015,18942,87959
Cadillac,XT5,2019,29888,60141
Jeep,Compass,2019,21499,55290
Nissan,Altima,2019,22068,9556
Subaru,Forester,2019,31995,19626
Ford,Edge,2020,21900,60098
Maserati,Ghibli,2015,27999,32853
Ford,Explorer,2020,35995,28992
Ford,Explorer,2019,32495,36450
Nissan,Rogue,2019,27388,11949
Ford,Explorer,2018,24990,72334
Ford,Bronco,2022,51990,4742
Toyota,Corolla,2021,22997,43753
Jeep,Grand Cherokee,2018,29495,36774
GMC,Terrain,2019,24988,41068
Ford,Explorer,2020,36995,11341
Ford,Escape,2019,22595,42889
Nissan,Kicks,2019,18695,49395
Ford,F-150,2014,18599,115259
Kia,Sportage,2020,27995,30429
Jeep,Grand Cherokee,2017,23584,56060
Subaru,Forester,2013,14995,78846
Mercedes-Benz,CLA,2018,22995,69278
INFINITI,G,2013,12900,120338
Mercedes-Benz,C-Class,2019,36490,28804
Hyundai,Elantra,2020,16450,53422
Kia,Forte,2014,11000,64500
Nissan,Versa,2012,8895,74600
Audi,TT,2003,3400,242834
BMW,X7,2019,61900,37410
Chevrolet,Equinox,2019,23998,25551
Acura,RDX,2019,38400,28500
Ford,F-150,2014,17599,124102
Jeep,Grand Cherokee,2020,35995,29746
INFINITI,Q50,2019,29950,25000
Chevrolet,Equinox,2018,22998,57663
Volvo,XC90,2018,43998,48523
Ford,F-150,2020,35998,57780
Jeep,Cherokee,2019,25500,31069
BMW,X6 M,2014,44950,21538
Volvo,XC90,2020,46495,29960
Nissan,Maxima,2018,16499,60595
Toyota,Corolla,2020,22998,39628
Ford,Fusion,2016,20998,13548
Honda,Accord,2019,27022,7467
Porsche,Cayenne,2019,79555,71791
Jeep,Wrangler,2018,34998,41416
Nissan,Rogue,2016,14726,70293
Ram,1500,2021,42998,29827
Mercedes-Benz,GLE,2018,42900,48272
MINI,Cooper,2007,10000,33000
Jeep,Grand Cherokee,2019,38495,37479
Chevrolet,Equinox,2014,7995,116549
Honda,CR-V,2019,31495,25551
Volkswagen,Tiguan,2019,27085,45388
Hyundai,Sonata,2019,18980,21074
Ford,Fusion,2018,11995,110789
Toyota,Highlander,2019,33788,39173
BMW,3 Series,2018,26995,40610
Genesis,G70,2021,29980,20753
Mercedes-Benz,GLC,2019,31998,42036
Acura,ILX,2022,32568,4948
Kia,Sorento,2011,7995,107655
Ford,Escape,2019,25998,26110
BMW,X5,2021,62995,20496
BMW,5 Series,2014,14995,120220
BMW,5 Series,2014,14995,120220
Honda,Accord,2020,27195,15394
Toyota,RAV4,2020,21995,63095
Chevrolet,Silverado 1500,2012,14995,152381
Volvo,XC60,2020,45995,24022
Jeep,Grand Cherokee,2019,32998,45580
Nissan,Sentra,2019,18995,21962
Honda,Accord,2019,24495,25221
Honda,CR-V,2019,28395,37007
Nissan,Altima,2021,25597,41850
Nissan,Rogue,2018,23293,15375
Lexus,GX,2018,37969,52445
Ford,Edge,2019,27900,45124
BMW,4 Series,2019,25988,20184
Jeep,Cherokee,2019,26995,30319
Ford,Mustang,2020,31999,46605
Honda,Pilot,2020,38166,20359
Mercedes-Benz,GLC,2022,53185,3332
Jeep,Wrangler,2018,26995,70135
Ford,Mustang,2016,12995,178616
Acura,MDX,2018,27995,73146
Jeep,Grand Cherokee,2014,17995,123226
Volkswagen,Atlas,2019,36898,56819
Nissan,Altima,2016,16990,59307
BMW,5 Series,2019,45995,40549
Nissan,Rogue Sport,2020,18721,21205
Nissan,Rogue,2018,19995,52396
Jeep,Cherokee,2019,29998,30891
Dodge,Durango,2020,40995,40636
Honda,CR-V,2018,24895,16618
Mercedes-Benz,CLA,2022,48030,6330
Jeep,Wrangler,2019,34772,45778
Nissan,Pathfinder,2013,9999,109285
Jeep,Cherokee,2019,24900,38523
Mercedes-Benz,C-Class,2018,27998,53287
Toyota,Corolla,2019,19889,21846
INFINITI,JX35,2013,12995,129606
Nissan,Rogue Sport,2020,27151,18211
Jeep,Grand Cherokee,2018,27995,86256
GMC,Sierra 3500HD,2018,43990,149154
Kia,Optima,2019,15499,63702
Mercedes-Benz,GLC,2021,46490,17900
Toyota,Sienna,2020,38000,52000
Ford,Edge,2019,29495,15562
Honda,Accord,2018,24399,19680
Nissan,Armada,2012,11795,88666
Chevrolet,Silverado 1500,2018,27990,73709
BMW,5 Series,2019,35989,44005
